934,995,49,89
357,650,631,744
0,82,182,254
611,692,183,258
911,1000,361,536
923,1000,172,250
847,940,183,259
248,320,180,252
430,505,181,254
626,667,48,86
2,272,639,744
71,165,171,244
932,998,111,177
890,940,48,93
226,288,39,85
293,342,47,86
777,827,49,86
728,1000,641,744
259,379,385,552
0,154,362,535
5,82,110,176
396,441,47,88
310,364,105,156
127,173,45,86
400,513,369,534
516,570,118,178
119,259,369,530
877,935,112,173
515,554,48,88
171,220,53,87
673,721,52,88
651,728,106,176
376,432,106,177
796,870,112,176
148,250,155,257
527,593,186,256
343,385,45,88
446,505,110,178
78,161,96,168
739,799,113,177
18,69,29,90
74,118,40,86
454,494,44,90
718,777,42,88
829,882,44,91
585,648,103,177
245,298,106,171
155,223,100,170
335,410,177,256
728,821,185,255
535,646,348,525
658,783,352,533
793,920,353,534
